2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:32:53 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:32:53 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:33:23 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:33:23 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:33:23 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:23 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:33:53 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:33:53 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:33:54 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:33:54 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:34:24 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:34:24 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [SPY 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [SPY 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [SPY 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [SPY 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | WARNING  | smcbot | Incomplete data for SPY — skipping.
2026-04-03 09:34:24 | DEBUG    | smcbot | Scanning QQQ...
2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Day]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [QQQ 4Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [QQQ 1Hour]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [QQQ 15Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | ERROR    | smcbot | Failed to fetch bars [QQQ 5Min]: {"message":"subscription does not permit querying recent SIP data"}

2026-04-03 09:34:24 | WARNING  | smcbot | Incomplete data for QQQ — skipping.
2026-04-03 09:34:54 | DEBUG    | smcbot | In active session: new_york
2026-04-03 09:34:54 | DEBUG    | smcbot | Scanning SPY...
2026-04-03 09:34:54 | ERROR    | smcbot | Failed to fetch bars [SPY 1Day]: {"message":"subscription does not permit querying recent SIP data"}

